R0, Seed, Immunity
12, 150.69999999999996, 0.8833333333333342
12.266666666666667, 317.03333333333325, 0.8366666666666672
12.533333333333335, 100.79999999999998, 0.796666666666667
12.800000000000002, 333.6666666666666, 0.910000000000001
13.06666666666667, 267.13333333333327, 0.7700000000000001
13.333333333333337, 433.4666666666665, 0.7900000000000003
13.600000000000005, 466.7333333333332, 0.8700000000000008
13.866666666666672, 34.266666666666666, 0.8900000000000009
14.13333333333334, 183.9666666666666, 0.9366666666666679
14.400000000000007, 167.3333333333333, 0.8433333333333339
14.666666666666675, 1, 0.8166666666666671
14.933333333333342, 134.06666666666663, 0.7566666666666667
15.20000000000001, 383.56666666666655, 0.9300000000000012
15.466666666666677, 350.2999999999999, 0.75
15.733333333333345, 366.9333333333332, 0.8633333333333341
16.00000000000001, 483.3666666666665, 0.8100000000000004
16.266666666666676, 67.53333333333333, 0.9233333333333344
16.533333333333342, 250.49999999999991, 0.8033333333333337
16.800000000000008, 217.23333333333326, 0.8766666666666675
17.066666666666674, 17.633333333333333, 0.8566666666666674
17.33333333333334, 50.9, 0.7833333333333335
17.600000000000005, 233.8666666666666, 0.9433333333333346
17.86666666666667, 416.8333333333332, 0.9166666666666677
18.133333333333336, 400.1999999999999, 0.7766666666666668
18.400000000000002, 450.09999999999985, 0.8500000000000006
18.666666666666668, 200.59999999999994, 0.7633333333333334
18.933333333333334, 84.16666666666666, 0.9033333333333343
19.2, 117.43333333333331, 0.8300000000000005
19.466666666666665, 300.3999999999999, 0.8233333333333338
19.73333333333333, 283.7666666666666, 0.8966666666666676
