expression,optimizer,mean training fitness,mean test fitness,
expr0, PSO, 0, 0.0
expr0, PassThroughOptimizer, 0.0, 0.0
expr0, ABC, 0, 0.0
expr0, DE, 0, 0.0
expr7, PSO, 1.484129475659568e-05, 2.212605058393713e-05
expr7, PassThroughOptimizer, 9.401788734286765e-05, 0.00010482880167717035
expr7, ABC, 0.0005308860794212, 0.0005494851491051334
expr7, DE, 3.339086751652509e-06, 2.64411381578622e-06
expr12, PSO, 0.003997251693077408, 0.012855159616749323
expr12, PassThroughOptimizer, 0.03175954807850945, 0.039602053673020166
expr12, ABC, 0.0053425519414439515, 0.010707387271559288
expr12, DE, 0.015968015663982427, 0.08228423218219194
expr5, PSO, 0, 0
expr5, PassThroughOptimizer, 0.0, 0.00014253430564037384
expr5, ABC, 0.0, 0.0
expr5, DE, 0.0, 0.0
expr10, PSO, 0.09903877390802285, 1
expr10, PassThroughOptimizer, 0.08767371254904566, 0.2796876400204682
expr10, ABC, 0.12555405855591584, 0.9962555378316911
expr10, DE, 0.09248525394847851, 0.3089819821876727
expr1, PSO, 0.003372432085391508, 0.5156256259288889
expr1, PassThroughOptimizer, 0.020154473279833218, 0.06425130221359732
expr1, ABC, 0.12666722633060745, 0.2398494077085761
expr1, DE, 0.027593379475859825, 0.09016614402092782
expr4, PSO, 0.0, 2.220446049250313e-16
expr4, PassThroughOptimizer, 0.0, 2.220446049250313e-16
expr4, ABC, 0.0, 1.1102230246251565e-16
expr4, DE, 0.0, 0
expr2, PSO, 0.0025607016769787494, 0.0027888303449592478
expr2, PassThroughOptimizer, 0.005070666256797307, 0.008598338539255068
expr2, ABC, 0.007502327164884082, 0.007910673621301823
expr2, DE, 0.040446863760076224, 0.060045460194595224
expr8, PSO, 0.0003615968506582856, 0.001203701728029749
expr8, PassThroughOptimizer, 0.00135197462851111, 0.002089443054961726
expr8, ABC, 0.0007382121324667201, 0.0012336682906058938
expr8, DE, 0.0011253763338290312, 0.0020273330571650705
expr3, PSO, 0.0, 0.0
expr3, PassThroughOptimizer, 0.0, 0.0
expr3, ABC, 0.0, 0.0
expr3, DE, 0.0, 0.0
expr11, PSO, 0.07074915388431069, 0.19371186166925836
expr11, PassThroughOptimizer, 0.14890104623648936, 0.2826548914402782
expr11, ABC, 0.12666722633060745, 0.2398494077085761
expr11, DE, 0.10812797356019599, 1
expr14, PSO, 0.003372432085391508, 0.5156256259288889
expr14, PassThroughOptimizer, 0.025382554751814168, 0.3766483313834448
expr14, ABC, 0.02191122158664438, 0.561380623914117
expr14, DE, 0.013426292806163809, 0.37486081300677254
expr13, PSO, 0.03181986877559517, 0.09071513239253837
expr13, PassThroughOptimizer, 0.020154473279833218, 0.06425130221359732
expr13, ABC, 0.035518645161773166, 0.07782947766527992
expr13, DE, 0.027593379475859825, 0.09016614402092782
expr9, PSO, 0.0009652655841753122, 0.006055905217790758
expr9, PassThroughOptimizer, 0.0001758273765029017, 0.0001871692139360226
expr9, ABC, 0.0017085995676073829, 0.0019443050531938733
expr9, DE, 0.0008501767931918813, 0.0011091855800186012
expr6, PSO, 1.752433136381626e-07, 1.56784063731763e-07
expr6, PassThroughOptimizer, 1.2016851269613937e-07, 1.1004214384158217e-07
expr6, ABC, 2.6653790285990908e-11, 2.6051161228224373e-11
expr6, DE, 5.469910621114238e-07, 4.929134151954173e-07
